model: OLMo-2-0425-1B_main
prompt = ['In {year} there']
inv dim: [2, 4, 8, 16]

layer=0 	0.05	0.10	0.25	0.83
layer=1 	0.05	0.38	0.49	0.53
layer=2 	0.08	0.49	0.50	0.50
layer=3 	0.09	0.30	0.48	0.50
layer=4 	0.06	0.40	0.49	0.51
layer=5 	0.06	0.42	0.49	0.51
layer=6 	0.05	0.12	0.49	0.50
layer=7 	0.05	0.05	0.14	0.49
layer=8 	0.05	0.05	0.05	0.46
layer=9 	0.05	0.05	0.05	0.49
layer=10 	0.05	0.05	0.08	0.36
