model=allenai/OLMo-2-0425-1B_stage1-step0-tokens0B
BASELINE; labels from full model
layer=0  	dim=2:0.7601503759398497	dim=4:0.8473684210526315
layer=1  	dim=2:0.7744360902255639	dim=4:0.8586466165413535
layer=2  	dim=2:0.8729323308270679	dim=4:0.9187969924812032
layer=3  	dim=2:0.8759398496240601	dim=4:0.9270676691729324
layer=4  	dim=2:0.9669172932330826	dim=4:0.9827067669172932
layer=5  	dim=2:0.9706766917293235	dim=4:0.9804511278195487
layer=6  	dim=2:0.956390977443609	dim=4:0.9857142857142859
layer=7  	dim=2:0.7684210526315789	dim=4:0.8368421052631578
layer=8  	dim=2:0.7736842105263159	dim=4:0.8263157894736842
