Model: OLMo-2-0425-1B, Revision: stage1-step10000-tokens21B

Digit  P(past)  P(present)  P(future)
0      0.432    0.000       0.568    
1      0.336    0.000       0.664    
2      0.013    0.000       0.987    
3      0.603    0.000       0.397    
4      0.502    0.000       0.498    
5      0.038    0.000       0.962    
6      0.670    0.000       0.330    
7      0.393    0.000       0.607    
8      0.426    0.000       0.574    
9      0.507    0.000       0.493    
