Model: olmo2-1b-4xH100-2ndtry, Revision: step-10000

Digit  P(past)  P(present)  P(future)
0      0.395    0.000       0.605    
1      0.507    0.000       0.493    
2      0.012    0.000       0.988    
3      0.566    0.000       0.434    
4      0.463    0.000       0.537    
5      0.034    0.000       0.966    
6      0.635    0.000       0.365    
7      0.355    0.000       0.645    
8      0.629    0.000       0.371    
9      0.468    0.000       0.532    
