Model: OLMo-2-0425-1B, Revision: main

Digit  P(past)  P(present)  P(future)
0      1.000    0.000       0.000    
1      1.000    0.000       0.000    
2      1.000    0.000       0.000    
3      1.000    0.000       0.000    
4      1.000    0.000       0.000    
5      1.000    0.000       0.000    
6      1.000    0.000       0.000    
7      1.000    0.000       0.000    
8      1.000    0.000       0.000    
9      1.000    0.000       0.000    
